Broj iteracije,Najbolje rjesenje
0,945.0
1,964.0
2,1033.0
3,954.0
4,1014.0
5,1011.0
6,992.0
7,1009.0
8,953.0
9,980.0
10,989.0
11,962.0
12,1002.0
13,994.0
14,998.0
15,1002.0
16,1024.0
17,986.0
18,1002.0
19,978.0
20,978.0
21,888.0
22,1004.0
23,986.0
24,1026.0
25,986.0
26,957.0
27,1018.0
28,1012.0
29,969.0
30,961.0
31,1005.0
32,1027.0
33,1009.0
34,1009.0
35,956.0
36,998.0
37,975.0
38,991.0
39,1012.0
40,969.0
41,988.0
42,991.0
43,971.0
44,1003.0
45,945.0
46,993.0
47,999.0
48,921.0
49,969.0
50,1006.0
51,962.0
52,998.0
53,988.0
54,994.0
55,1009.0
56,988.0
57,985.0
58,1009.0
59,991.0
60,1001.0
61,1001.0
62,945.0
63,883.0
64,935.0
65,985.0
66,1022.0
67,990.0
68,955.0
69,982.0
70,1023.0
71,926.0
72,962.0
73,970.0
74,999.0
75,989.0
76,915.0
77,939.0
78,964.0
79,1018.0
80,971.0
81,972.0
82,934.0
83,972.0
84,954.0
85,1004.0
86,973.0
87,961.0
88,997.0
89,973.0
90,976.0
91,964.0
92,997.0
93,958.0
94,965.0
95,1009.0
96,967.0
97,924.0
98,991.0
99,944.0
100,986.0
101,963.0
102,952.0
103,984.0
104,956.0
105,1004.0
106,983.0
107,997.0
108,957.0
109,961.0
110,952.0
111,956.0
112,958.0
113,938.0
114,947.0
115,988.0
116,973.0
117,976.0
118,1000.0
119,939.0
120,946.0
121,946.0
122,944.0
123,992.0
124,983.0
125,956.0
126,988.0
127,941.0
128,940.0
129,954.0
130,898.0
131,1013.0
132,954.0
133,926.0
134,962.0
135,1006.0
136,991.0
137,955.0
138,923.0
139,960.0
140,961.0
141,977.0
142,950.0
143,975.0
144,990.0
145,988.0
146,947.0
147,966.0
148,966.0
149,976.0
150,931.0
151,967.0
152,983.0
153,876.0
154,954.0
155,952.0
156,970.0
157,974.0
158,926.0
159,935.0
160,954.0
161,961.0
162,937.0
163,938.0
164,938.0
165,968.0
166,950.0
167,969.0
168,934.0
169,952.0
170,964.0
171,927.0
172,952.0
173,959.0
174,936.0
175,966.0
176,974.0
177,956.0
178,938.0
179,930.0
180,937.0
181,951.0
182,977.0
183,959.0
184,930.0
185,979.0
186,915.0
187,935.0
188,928.0
189,972.0
190,942.0
191,923.0
192,930.0
193,938.0
194,984.0
195,930.0
196,947.0
197,909.0
198,982.0
199,934.0
200,955.0
201,900.0
202,912.0
203,952.0
204,956.0
205,939.0
206,876.0
207,965.0
208,929.0
209,957.0
210,912.0
211,964.0
212,950.0
213,938.0
214,944.0
215,972.0
216,873.0
217,934.0
218,977.0
219,945.0
220,930.0
221,964.0
222,949.0
223,934.0
224,950.0
225,892.0
226,945.0
227,930.0
228,936.0
229,936.0
230,939.0
231,959.0
232,940.0
233,930.0
234,930.0
235,930.0
236,967.0
237,956.0
238,938.0
239,956.0
240,931.0
241,920.0
242,862.0
243,930.0
244,922.0
245,938.0
246,900.0
247,938.0
248,925.0
249,950.0
250,937.0
251,946.0
252,950.0
253,942.0
254,949.0
255,944.0
256,948.0
257,936.0
258,938.0
259,939.0
260,954.0
261,928.0
262,937.0
263,930.0
264,883.0
265,930.0
266,933.0
267,930.0
268,949.0
269,928.0
270,938.0
271,957.0
272,930.0
273,930.0
274,923.0
275,970.0
276,933.0
277,938.0
278,960.0
279,930.0
280,938.0
281,950.0
282,945.0
283,930.0
284,926.0
285,930.0
286,940.0
287,957.0
288,942.0
289,931.0
290,928.0
291,929.0
292,925.0
293,916.0
294,930.0
295,931.0
296,931.0
297,940.0
298,873.0
299,931.0
300,934.0
301,930.0
302,943.0
303,930.0
304,923.0
305,940.0
306,930.0
307,937.0
308,930.0
309,885.0
310,930.0
311,977.0
312,930.0
313,923.0
314,931.0
315,935.0
316,933.0
317,925.0
318,930.0
319,930.0
320,927.0
321,916.0
322,951.0
323,930.0
324,930.0
325,915.0
326,930.0
327,930.0
328,930.0
329,930.0
330,930.0
331,930.0
332,930.0
333,930.0
334,930.0
335,930.0
336,930.0
337,930.0
338,956.0
339,930.0
340,930.0
341,930.0
342,930.0
343,930.0
344,938.0
345,930.0
346,937.0
347,936.0
348,921.0
349,930.0
350,943.0
351,938.0
352,930.0
353,917.0
354,930.0
355,930.0
356,930.0
357,930.0
358,950.0
359,930.0
360,930.0
361,915.0
362,930.0
363,930.0
364,930.0
365,930.0
366,915.0
367,930.0
368,930.0
369,930.0
370,942.0
371,930.0
